,state,tot_cases,new_case,tot_death
855,NM,144142,1278.0,2502
856,NJ,231746,1314.0,16245
857,CO,59920,246.0,1977
858,KY,0,0.0,0
859,MO,150554,1875.0,2442
860,RMI,0,0.0,0
861,GU,2617,67.0,49
862,IN,60598,996.0,2884
863,TX,756004,3503.0,15895
864,OR,129109,1329.0,1708
865,CA,254745,6510.0,6313
866,RMI,0,0.0,0
867,MN,0,0.0,0
868,PA,911591,2818.0,23570
869,VA,553308,1770.0,7037
870,AS,0,0.0,0
871,KY,80292,847.0,1252
872,MI,592382,2513.0,14933
873,NE,51144,1085.0,519
874,MD,124725,414.0,3949
875,NE,23818,332.0,316
876,MD,63548,319.0,3030
877,KY,955,38.0,45
878,GU,170,3.0,5
879,MN,0,0.0,0
880,DC,17,14.0,0
881,OH,55257,1091.0,2903
882,WV,109809,988.0,1784
883,FSM,1,0.0,0
884,NY,227126,952.0,9127
885,MN,394635,2746.0,4839
886,SC,8,2.0,0
887,OR,0,0.0,0
888,NV,3626,102.0,155
889,SC,15515,541.0,585
890,WV,25987,394.0,472
891,VT,962,6.0,54
892,DC,15519,46.0,631
893,CT,23100,631.0,1639
894,PW,0,0.0,0
895,UT,6675,127.0,75
896,AK,44280,290.0,199
897,SD,5742,77.0,74
898,WA,98661,460.0,2258
899,RMI,0,0.0,0
900,NE,175620,1006.0,1737
901,MP,113,0.0,2
902,TN,130458,1947.0,1326
903,VT,2462,47.0,59
904,WY,0,0.0,0
905,MI,628956,944.0,16119
906,PR,39684,817.0,599
907,SC,6899,92.0,309
908,GA,437156,3424.0,9102
909,TX,19458,535.0,495
910,GA,892957,7352.0,13827
911,DE,7373,150.0,271
912,AS,0,0.0,0
913,GA,52910,804.0,2329
914,KS,18611,0.0,284
915,PW,0,0.0,0
916,TX,507,0.0,8
917,KY,28126,525.0,719
918,NY,772569,6308.0,15618
919,PR,34492,251.0,464
920,SC,41426,2253.0,840
921,CT,12035,525.0,554
922,ME,519,20.0,12
923,AL,6539,-88.0,228
924,WY,766,12.0,10
925,MO,18868,291.0,975
926,NM,0,0.0,0
927,IL,477978,12438.0,10488
928,WA,70,31.0,10
929,DE,0,0.0,0
930,OK,54132,868.0,699
931,MP,106,0.0,2
932,LA,185822,1098.0,5890
933,KY,1693,241.0,90
934,GA,591438,3520.0,10399
935,OR,41348,538.0,649
936,AL,6071,240.0,198
937,CO,423558,1168.0,5917
938,FL,1816108,5030.0,29474
939,AL,61143,2030.0,1230
940,IA,1048,102.0,26
941,VT,1025,35.0,55
942,VA,184680,1261.0,3666
943,AL,23710,865.0,769
944,CO,26098,485.0,1443
945,VI,3,1.0,0
946,SD,6826,62.0,93
947,OH,36413,429.0,2258
948,GA,391785,1357.0,7999
949,AK,396,4.0,10
950,ME,633,17.0,19
951,DC,5170,154.0,258
952,AL,59113,1805.0,1211
953,NE,1722,74.0,38
954,NH,5991,18.0,390
955,MS,115763,447.0,3263
